Timestamp,Charger0[kW],Charger1[kW],Charger2[kW],Charger3[kW]
2019-01-05 00:00:00,0.0,0.0,0.0,0.0
2019-01-05 00:15:00,0.0,0.0,0.0,0.0
2019-01-05 00:30:00,0.0,0.0,0.0,0.0
2019-01-05 00:45:00,0.0,0.0,0.0,0.0
2019-01-05 01:00:00,0.0,0.0,0.0,0.0
2019-01-05 01:15:00,0.0,0.0,0.0,0.0
2019-01-05 01:30:00,0.0,0.0,0.0,0.0
2019-01-05 01:45:00,0.0,0.0,0.0,0.0
2019-01-05 02:00:00,0.0,0.0,0.0,0.0
2019-01-05 02:15:00,0.0,0.0,0.0,0.0
2019-01-05 02:30:00,0.0,0.0,0.0,0.0
2019-01-05 02:45:00,0.0,0.0,0.0,0.0
2019-01-05 03:00:00,0.0,0.0,0.0,0.0
2019-01-05 03:15:00,0.0,0.0,0.0,0.0
2019-01-05 03:30:00,0.0,0.0,0.0,0.0
2019-01-05 03:45:00,0.0,0.0,0.0,0.0
2019-01-05 04:00:00,0.0,0.0,0.0,0.0
2019-01-05 04:15:00,0.0,0.0,0.0,0.0
2019-01-05 04:30:00,0.0,0.0,0.0,0.0
2019-01-05 04:45:00,0.0,0.0,0.0,0.0
2019-01-05 05:00:00,0.0,0.0,0.0,0.0
2019-01-05 05:15:00,0.0,0.0,0.0,0.0
2019-01-05 05:30:00,0.0,0.0,0.0,0.0
2019-01-05 05:45:00,0.0,0.0,0.0,0.0
2019-01-05 06:00:00,0.0,0.0,0.0,0.0
2019-01-05 06:15:00,0.0,0.0,0.0,0.0
2019-01-05 06:30:00,0.0,0.0,0.0,0.0
2019-01-05 06:45:00,0.0,0.0,0.0,0.0
2019-01-05 07:00:00,0.0,0.0,0.0,0.0
2019-01-05 07:15:00,0.0,0.0,0.0,0.0
2019-01-05 07:30:00,0.0,0.0,0.0,0.0
2019-01-05 07:45:00,0.0,0.0,0.0,0.0
2019-01-05 08:00:00,0.0,0.0,0.0,0.0
2019-01-05 08:15:00,0.0,0.0,0.0,0.0
2019-01-05 08:30:00,0.0,0.0,0.0,0.0
2019-01-05 08:45:00,0.0,0.0,0.0,0.0
2019-01-05 09:00:00,0.0,0.0,0.0,0.0
2019-01-05 09:15:00,0.0,0.0,0.0,0.0
2019-01-05 09:30:00,0.0,0.0,0.0,0.0
2019-01-05 09:45:00,0.0,0.0,0.0,0.0
2019-01-05 10:00:00,0.011902899052177287,0.0022203105144700656,0.03989004911845655,0.013233266196763526
2019-01-05 10:15:00,0.03204637899060545,0.20581194478662646,0.18685217728901993,0.15821461209734197
2019-01-05 10:30:00,0.17398431914051488,0.07287591512630866,0.06387555860197931,0.06428460059480326
2019-01-05 10:45:00,0.01930780581882989,0.15733865855756923,1.5373496873376995,0.21333386298716409
2019-01-05 11:00:00,0.08940999154208173,1.4024580251615137,0.2402812618520612,0.22977566599926721
2019-01-05 11:15:00,0.1470611986036944,0.21623791345837237,0.21710592638793133,0.9406488742995842
2019-01-05 11:30:00,1.2105660352010779,2.7629538832209724,1.8136804795484158,1.7688881173228592
2019-01-05 11:45:00,2.252753115141493,1.748322825854388,2.3798848004233384,2.0944985642718366
2019-01-05 12:00:00,2.3624570116939476,3.6676828590589006,3.5202878581539783,1.7980713776648902
2019-01-05 12:15:00,2.305746672101691,3.146276550404132,1.5304291193483728,2.59217389895843
2019-01-05 12:30:00,2.2366653512925647,2.2834685370799956,3.6443897533304193,3.7257985066804435
2019-01-05 12:45:00,1.8691706627782099,2.1620300881707664,2.73735792887439,3.111052435268645
2019-01-05 13:00:00,2.5524769440656123,3.215330874590746,2.3608317041724978,1.5187986093705357
2019-01-05 13:15:00,1.8964286497323684,3.033409354822401,3.6540525143905795,2.4284067318176223
2019-01-05 13:30:00,0.06823057893971016,0.03257737697887754,0.08867030632145881,0.04220399079146992
2019-01-05 13:45:00,0.11550976892192104,0.04934364678809223,0.007113398902718599,0.1357555553084573
2019-01-05 14:00:00,0.15167389426104488,0.10352831974949493,0.05811751971833368,0.10104717197481682
2019-01-05 14:15:00,0.08497271123478961,0.25160195353088594,0.030680718973445216,0.08321114261815939
2019-01-05 14:30:00,0.10619085143359146,0.21779818407322918,0.3277802654174359,0.3125893573273459
2019-01-05 14:45:00,0.04070597089608612,0.03586497910911926,0.04561472342097285,0.3293641216254611
2019-01-05 15:00:00,0.7137682961891757,1.1612843049404376,2.766282470501628,2.4807067552305515
2019-01-05 15:15:00,2.2204172857107793,1.440087121774057,0.9647196183305519,2.048146477478244
2019-01-05 15:30:00,1.6954437869213077,1.6839952544099994,2.462837170672449,1.8403102741876711
2019-01-05 15:45:00,2.816681224710257,1.2904037475470007,0.6698826739487758,1.882459317315438
2019-01-05 16:00:00,2.567876516532073,2.0613534297852616,2.13804166083756,2.0035565249993095
2019-01-05 16:15:00,1.639062379726846,1.6850314631756171,2.053199210675918,1.9653475009212082
2019-01-05 16:30:00,2.3693273985230077,2.043608605853486,2.7409312582480334,1.2693726063822448
2019-01-05 16:45:00,1.782763618601259,2.447998484999662,1.7534929798444767,0.9324152663097631
2019-01-05 17:00:00,0.0021110588013217467,0.016870215463731252,0.07381619820757697,0.0383512268645964
2019-01-05 17:15:00,0.10401812057130438,0.13197845250719378,1.8650476579111503,0.297525239975684
2019-01-05 17:30:00,0.18111227590278375,0.10156204498017142,0.06915097978491926,0.024890917065185113
2019-01-05 17:45:00,0.247711277521887,1.807853822693944,0.3768016120132169,1.6497182045684307
2019-01-05 18:00:00,0.018777974014476527,0.07110463909470514,0.17809845221456116,1.0646599662644434
